keyword,raw_counts,frequency,keyness
勞工,168,0.009324526835766222,0.2
條,163,0.009047011156130321,0.0
委員,121,0.006715879447188766,0.0
是否,115,0.006382860631625687,0.0
當,110,0.006105344951989788,0.0
公決,109,0.0060498418160626075,21.8
本院,109,0.0060498418160626075,21.8
蔣乃辛,109,0.0060498418160626075,21.8
爰,104,0.005772326136426708,10.4
修正,98,0.005439307320863629,0.0
敬請,97,0.005383804184936449,1.2000000000000002
規定,89,0.004939779097519009,0.0
權益,86,0.00477326968973747,0.0
安全,85,0.00471776655381029,0.0
有鑑於,81,0.004495754010101571,1.0
條文,73,0.0040517289226841315,0.2
保險,72,0.003996225786756952,0.0
提案,69,0.003829716378975412,0.0
教育,62,0.003441194427485153,0.0
保障,57,0.0031636787478492535,0.0
其,55,0.003052672475994894,0.0
本席,55,0.003052672475994894,5.4
給付,51,0.002830659932286174,0.0
者,49,0.0027196536604318145,0.0
食品,47,0.0026086473885774545,0.0
投保,46,0.0025531442526502746,0.4
學校,45,0.002497641116723095,0.0
應,43,0.002386634844868735,0.0
條例,43,0.002386634844868735,0.0
部分,43,0.002386634844868735,0.0
年金,42,0.0023311317089415554,0.8
維護,41,0.002275628573014375,0.0
吳,39,0.0021646223011600155,0.0
機關,39,0.0021646223011600155,0.0
發生,39,0.0021646223011600155,0.0
育仁,39,0.0021646223011600155,7.800000000000001
主管,38,0.0021091191652328357,0.0
且,37,0.002053616029305656,0.0
學生,37,0.002053616029305656,0.0
民眾,37,0.002053616029305656,0.0
健康,36,0.001998112893378476,0.0
家庭,36,0.001998112893378476,0.0
意外,36,0.001998112893378476,0.0
有效,36,0.001998112893378476,0.0
消費者,35,0.001942609757451296,0.0
現行,35,0.001942609757451296,0.0
公共,34,0.0018871066215241162,0.0
災害,34,0.0018871066215241162,0.2
衛生,33,0.0018316034855969361,0.0
法,32,0.0017761003496697563,0.0
保護,31,0.0017205972137425765,0.0
職業,31,0.0017205972137425765,0.0
影響,30,0.0016650940778153965,0.0
未,30,0.0016650940778153965,0.0
管理,30,0.0016650940778153965,0.0
增訂,29,0.0016095909418882167,1.0
大學,29,0.0016095909418882167,0.0
委員會,29,0.0016095909418882167,0.0
廣告,29,0.0016095909418882167,0.0
校園,29,0.0016095909418882167,0.0
月,28,0.0015540878059610368,0.0
每,28,0.0015540878059610368,0.0
無法,28,0.0015540878059610368,0.0
陳碧涵,28,0.0015540878059610368,5.6000000000000005
因,27,0.0014985846700338568,0.0
造成,27,0.0014985846700338568,0.0
楊玉欣,26,0.001443081534106677,5.2
對於,25,0.0013875783981794972,0.0
教師,25,0.0013875783981794972,0.0
社會,25,0.0013875783981794972,0.0
行政,25,0.0013875783981794972,0.0
項,25,0.0013875783981794972,0.0
嚴重,24,0.0013320752622523174,0.0
場所,24,0.0013320752622523174,0.0
工作,24,0.0013320752622523174,0.0
照顧,24,0.0013320752622523174,0.0
落實,24,0.0013320752622523174,0.0
人數,23,0.0012765721263251373,0.0
對象,23,0.0012765721263251373,0.0
棟,23,0.0012765721263251373,0.0
紀國,23,0.0012765721263251373,4.6000000000000005
經費,23,0.0012765721263251373,0.0
要求,23,0.0012765721263251373,0.0
規範,23,0.0012765721263251373,0.0
